"Title","Make/Model","Location","Date Posted","Description","Price","Kilometres","Drivetrain","Listing URL","Notes"
"2016 Subaru Forester","Subaru Forester","Calgary, AB","Aug 20, 2026","I am selling our beautiful and well maintained 2016 Subaru Forester.
It runs and drives flawlessly, no warning lights, no mechanical issues.
Comes with thick all season tires.
Well-maintained and reliable SUV in excellent condition. Car is All Wheel Drive and never stuck in snow.
Car has Bluetooth, Sirius XM, heated seats, reverse camera, moon roof, electric seat adjustment, electric tail gate, roof rails, cruise control etc. Comes with 2 sets of floor mats, AC blows freezing cold air, heater works fine as well.
No mechanical issues. Serpentine belt, valve cover gasket, drive belt idler pulley replaced around a year ago. New windhshield and alternator installed recently. All fluids, spark plugs and other maintenance parts have been replaced in a timely manner since day one.
Perfect for daily driving or family use. Serious inquiries only, price negotiable.","CA$8,700","228,000 km","AWD","https://www.facebook.com/marketplace/item/27744163601907758/","Strong value; good maintenance detail"
"2017 Subaru Forester - ONE OWNER CLEAN CARFAX","Subaru Forester","Calgary, AB","Aug 13, 2026","Runs and drives great
$9,999
Private sale
200k driven

Clean Carfax No accidents or claims. One owner car

Can also finance if needed","CA$9,999","~200,000 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/1706779287057144/","One owner, clean Carfax"
"2017 Subaru Forester","Subaru Forester","Okotoks, AB","Aug 13, 2026","200k driven
2017 Subaru Forester
$11,999

Runs and drives great","CA$11,999","~200,000 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/1872861370351649/","Okotoks (~45 km S of Calgary); minimal description"
"2012 Subaru Forester","Subaru Forester","Brooks, AB","Aug 13, 2026","My Subaru Forester 2012 low km active status remote starter sunroof heat seater AWD 4 cylinder good for gas no leaks small scratches no issues at all serious buyer thanks!","CA$8,900","141,356 km","AWD","https://www.facebook.com/marketplace/item/1977286032982272/","Brooks (~185 km SE of Calgary); low km"
"2011 Subaru Outback 2.5i Limited AWD : One Owner","Subaru Outback","Calgary, AB","Aug 19, 2026","2011 Subaru Outback 2.5i Limited AWD | One Owner | 199,621 KM
The 2011 Subaru Outback Limited AWD is a versatile wagon built for comfort, capability, and year-round confidence. Powered by a 2.5i 4-engine and Subaru's legendary All-Wheel Drive, it delivers smooth performance and excellent handling in all weather conditions.
All our inventory comes with Carfax report and safety inspection.
Financing Available
AMVIC Licensed
Stock: F2415","CA$8,995","199,621 km","AWD","https://www.facebook.com/marketplace/item/2169029437290799/","One owner; dealer listing"
"2012 Subaru Outback 2.5i w/Limited & Nav Pkg","Subaru Outback","Calgary, AB","Aug 14, 2026","2012 Subaru Outback 2.5i Limited w/ Navigation – Fully Loaded All-Weather Wagon
Looking for a reliable, feature-packed AWD vehicle at an affordable price point? This 2012 Subaru Outback Limited with Navigation combines legendary Subaru capability with top-tier comfort features. Finished in a classic silver exterior with a premium black leather interior.
Odometer: 290,072 km
Price: $8,988 + tax
Amvic licensed dealer
Price excludes gst
Exterior Color: Silver
Interior Color: Black Leather Interior
Key Features & Highlights:
Symmetrical All-Wheel Drive: Subaru's full-time AWD system combined with a efficient 2.5L 4-cylinder engine for ultimate all-season driving confidence
Limited Luxury Trim: Full black leather upholstery, 10-way power driver's seat, power passenger seat, dual-zone automatic climate control, and heated front seats
Navigation & Audio: Built-in touchscreen GPS navigation system paired with a Harman Kardon premium audio system and Bluetooth connectivity
Open-Air & Utility: Power sunroof, roof rails with integrated crossbars, and rear cargo tray for maximum practicality
Convenience & Comfort: Power windows and locks, keyless entry, leather-wrapped steering wheel with audio controls, and auto-dimming rearview mirror
Well-maintained, clean inside and out, and ready for many more adventures or daily commuting. Excellent value for a fully optioned AWD crossover.
Send a message to arrange a viewing or schedule a test drive.","CA$8,988","290,072 km","AWD","https://www.facebook.com/marketplace/item/1619594743074591/","High km (290k)"
"2014 Subaru Outback","Subaru Outback","Calgary, AB","Aug 16, 2026","2014 Subaru Outback 2.5i Premium AWD 🚗
✅ ACTIVE STATUS (zero accident)
✅ 189,000 km
✅ AWD (All-Wheel Drive)
✅ Backup Camera
✅ Apple CarPlay
✅ Navigation System
✅ Heated Front Seats
✅ Power Sunroof
✅ Premium Trim
✅ Spacious Interior & Cargo Area
✅ Reliable & Fuel Efficient 2.5L Boxer Engine
✅ Perfect for Alberta Weather","CA$8,900","189,000 km","AWD","https://www.facebook.com/marketplace/item/914014345098663/","Active status, zero accidents - strong price"
"2014 Subaru Outback SUNROOF | HEATED SEATS | AWD | BLUETOOTH | DUAL CLIMATE CONTROL | Black","Subaru Outback","Calgary, AB","Aug 13, 2026","2014 Subaru Outback – Adventure Awaits with SUNROOF & HEATED SEATS! 🚙🌟
Experience the perfect blend of comfort and capability with this stunning 2014 Subaru Outback in elegant Black. Ideal for both city driving and off-road adventures, this SUV is designed for those who crave versatility and style.
- Spacious 4-door design with automatic transmission
- Stunning sunroof for bright, open views
- Enjoy heated seats for those chilly days 🥶
- Reliable AWD for superior traction on any terrain
- Bluetooth connectivity for hands-free calls
- Dual climate control for personalized comfort
Don't miss out on this fantastic deal! 💰
Price: $10,900
Mileage: 231,913 km
Stock #: 308925-T
CARFAX AVAILABLE
FINANCING OPTIONS AVAILABLE
AMVIC LICENSED
Message me for more details or to book your test drive today! 📩🚗
#Subaru #Outback #AWD #ForSale #CarListing #UsedCars #Black #TestDrive #LuxurySUV","CA$10,900","231,913 km","AWD","https://www.facebook.com/marketplace/item/1431868455654977/","Dealer listing"
"2015 Subaru Outback","Subaru Outback","Calgary, AB","Aug 19, 2026","Selling my beautiful 2015 Subaru Outback Limited Edition With 2.5L 4-Cylinder Engine Good on GAS fully loaded push to start the engine remote keyless entry like new winter tires and ofter market rims brand new front rooters and pad brakes brand new rear pad brakes fully detailed interior and exterior very very clean inside and outside and very low kilometres of the age runs and drive very very smoothly no lights on dash or leaks no rust no hail absolutely need nothing fully inspected and have paperwork ready to show in person rebuilt status no low ballers please","CA$8,499","177,891 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/1698424201272926/","Rebuilt status"
"2015 Subaru Outback 2.5i | AWD | Heated Seats","Subaru Outback","Calgary, AB","Aug 19, 2026","🚙 2015 Subaru Outback 2.5i Premium | AWD | 245,420 KM
✅ 2.5L Engine
✅ AWD
✅ Heated Seats
✅ Backup Camera
✅ Bluetooth Connectivity
✅ Cruise Control
✅ Power Windows & Locks
✅ Leather Steering Wheel
✅ Spacious Wagon
The 2015 Subaru Outback 2.5i Premium is a practical and capable AWD wagon, perfect for daily driving, road trips, and year-round Canadian conditions.
✔️ Financing Available
✔️ Carfax & Safety Inspection Available
✔️ AMVIC Licensed
📩 Message us today for details or to book a test drive!
Stock # F2632","CA$10,715","245,420 km","AWD","https://www.facebook.com/marketplace/item/1819314876092347/","Dealer listing"
"2018 Subaru Outback","Subaru Outback","Red Deer County, AB","Aug 13, 2026","2018 Subaru Outback Touring Trim. 329000 km, pretty high but still runs great. Been in family for a while just selling because I need a truck. Show me trades, offers or text for questions.","CA$10,500","329,000 km","AWD (Subaru standard)","https://www.facebook.com/marketplace/item/929706476840280/","Red Deer County (~140 km N); very high km (329k)"
"2007 Honda CR-V","Honda CR-V","Calgary, AB","Aug 18, 2026","She's a 2007 with 198010km and I bought her 3 years ago at 177715km. Pretty good condition over all. I have documentation to show servicing and overall history. I would love to keep her but I'm moving out of country.
Open to negotiating.
If you have any questions, please do ask.","CA$11,500","198,010 km","Not stated","https://www.facebook.com/marketplace/item/1349569060661535/","Service documentation available"
"2010 Honda CR-V","Honda CR-V","Calgary, AB","Aug 13, 2026","🚙 2010 Honda CR-V EX-L — AWD | Reliable & Practical!
Looking for an affordable SUV that's great for daily driving, family trips, and Alberta roads?
✅ EX-L trim
✅ AWD
✅ Spacious & comfortable interior
✅ Great visibility & practicality
✅ Honda reliability
Contact Jay at 4️⃣0️⃣3️⃣ 4️⃣9️⃣8️⃣ 7️⃣2️⃣9️⃣5️⃣ for more details","CA$11,998","215,755 km","AWD","https://www.facebook.com/marketplace/item/1344825197694330/",""
"2011 Honda CR-V EX : 4WD *sunroof* Well Maintained","Honda CR-V","Calgary, AB","Aug 14, 2026","2011 HONDA CRV EX AWD ::
FINANCING AVAILABLE
Well Maintained , Sunroof, Heated seat , Bluetooth , Power Windows , Power Locks, Power Mirror, Keyless Entry, AM FM CD , Alloy Wheel , 4 Cylinder Engine 2.4L , Active Status ,...Much more....
Amvic Licensed Stock #A1392
Fine Auto Zone
10620- 36 Street NE Calgary
Call/text For Viewing, at *403 *472 *4050
Price 8495 + Tax","CA$8,495","299,203 km","AWD","https://www.facebook.com/marketplace/item/1403683258304694/","Active status; very high km (299k)"
"2012 Honda CR-V","Honda CR-V","Calgary, AB","Aug 19, 2026","2012 Honda Crv touring 2.4L engine has 206000 km runs and drives amazingly no issues no rust no leaks
full leather interior
sunroof
Remote starter
back up camera
bluetooth
heated seats
cruise control
Econ fuel saving
fresh oil change
transmission flush
full timing chain kit
New brakes
New rear stabilizer link kits
asking $10,900 or best offer","CA$10,900","206,000 km","Not stated","https://www.facebook.com/marketplace/item/1376930983994130/","Touring trim; recent timing chain kit"
"2012 Honda CR-V LX","Honda CR-V","Calgary, AB","Aug 19, 2026","2012 Honda CR-V LX | Heated Seats | Backup Camera | Keyless Entry
220,960 KM | 2.4L 4-Cylinder | Automatic
2012 Honda CR-V LX with 220,960 KM and rebuilt status. A practical 5-passenger SUV with heated seats, backup camera, and plenty of useful features.
Features include:
Black cloth heated seats
Cruise control
Steering wheel controls
Keyless entry
Power windows
Power mirrors
Power locks
Bluetooth audio
USB and AUX
Backup camera
Seating for 5
Rebuilt status
We believe buying a vehicle should be simple and stress-free. Our sales team is not paid on commission, allowing us to focus on finding the right vehicle for you.
No hidden dealership fees, documentation fees, or AMVIC levy. Just the advertised price plus GST.
Message us for more information or to arrange a viewing.
#HondaCRV #CRVLX #Honda #SUVForSale #UsedSUV #UsedCars #AlbertaCars #AlbertaVehicles #CalgaryCars #AirdrieCars #HeatedSeats #BackupCamera #KeylessEntry #Bluetooth #RebuiltStatus #AffordableSUV #FamilySUV #HondaCRVForSale","CA$8,900","220,960 km","Not stated","https://www.facebook.com/marketplace/item/1118691650819322/","Rebuilt status; dealer (no hidden fees policy)"
"2013 Honda CR-V","Honda CR-V","Calgary, AB","Aug 13, 2026","🚙 2013 Honda CR-V EX Auto | Extra Clean | Reliable
AB-Rebuilt Title
Ready to Register in Alberta
📌 Stock# 0959
📅 2013 Honda CR-V
⚙️ Automatic Transmission
📍 245,743 Km
💰 $10,500 + GST
✅ Extra Clean Car
✅ Sunroof
✅ Alloy Rims
✅ Michelin Tires
✅ Runs & Drives Good
✅ Reliable & Practical SUV
✅ Great Daily Driver
🔧 Professionally Rebuilt & Inspected
📋 Mechanical Fitness Assessment Included
📄 Carfax History Report Included
Japan Dream Cars Ltd.
📍 3698 44 Ave SE, Calgary, AB
📞 [hidden information]
🕘 Monday – Saturday: 9:30 AM – 6:00 PM
🚫 Sunday: Closed
AMVIC Licensed Business","CA$10,500","245,743 km","Not stated","https://www.facebook.com/marketplace/item/1035433606057856/","Rebuilt title; dealer"
"2014 Honda CR-V","Honda CR-V","Calgary, AB","Aug 16, 2026","2014 HONDA CR-V LX AWD 🚗
Looking for one of the most dependable compact SUVs on the market? This 2014 Honda CR-V LX AWD is known for its legendary Honda reliability, low maintenance costs, and excellent fuel economy. It's been well maintained and is ready for its next owner.
✅ Active Status
✅ All-Wheel Drive (AWD)
✅ Backup Camera
✅ Heated Front Seats
✅ Brand New Tires
✅ New Front & Rear Brakes and Rotors
✅ Ball Joint Replaced
✅ Fresh Engine Oil Service
✅ Brand New Windshield
✅ Professionally Detailed & Cleaned
✅ Inspection Passed – Ready to Drive
A practical SUV that's perfect for Alberta weather, offering confidence in winter, a spacious interior, and Honda's outstanding reputation for long-term reliability.","CA$12,500","211,000 km","AWD","https://www.facebook.com/marketplace/item/1568773071293093/","Active status; lots of recent work"
"2014 Honda CRV AWD","Honda CR-V","Calgary, AB","Aug 19, 2026","269,000 kms / Active Status

Selling my reliable SUV, it only has $1k claim. Oil change, change rotors (2 months ago), change tires, everything it needed.

Comes with:
✅ Back-Up Cam
✅ Heated Seats
✅ Bluetooth Connectivity, and more

Yes it's available","CA$11,000","269,000 km","AWD","https://www.facebook.com/marketplace/item/933044535899337/","Active status; only $1k claim on record"
"2016 Honda CR-V SE | ACTIVE TITLE | AWD | Backup Camera | Bluetooth | Cruise Control","Honda CR-V","Calgary, AB","Aug 14, 2026","🚙 For Sale: 2016 Honda CR-V SE AWD – Reliable, Fuel-Efficient & Ready for Every Season!
✨ Key Highlights:
🟢 ACTIVE TITLE
📍 Mileage: 282058 kms
⚙️ Efficient 2.4L i-VTEC 4-cylinder engine paired with a CVT automatic transmission for a smooth and fuel-efficient drive
❄️All-Wheel Drive for enhanced confidence in rain, snow, and changing road conditions
🚗 Multi-angle backup camera with guidelines
🔑 Smart Entry with push-button start
😎Heated power side mirrors
🪑 Premium cloth interior with supportive seating
🔥 Heated front seats for added comfort
📱 Bluetooth hands-free calling and audio streaming
🎵 7-inch Display Audio touchscreen with AM/FM/CD, USB, AUX input
🧭 Steering wheel-mounted audio and cruise controls
🚘 Cruise control with Eco Assist™ system for improved fuel efficiency
📦 Spacious cargo area with a split-folding rear seat
✨ Additional Highlights:
📊 Excellent mechanical condition — ready for daily driving or work
📑 Comes with a recent mechanical inspection
👐 No issues
🏷️ Fully inspected and certified — ready to drive off the lot same day
💵 Price is plus GST
📞 [hidden information], [hidden information]
📍 GT Auto, 4204 10 St NE, Calgary, AB
🕒 Monday–Friday: 10 am – 7 pm
🕒 Saturday: 10 am – 6 pm
✅ Trade-ins
✅ Financing
✅ Delivery
✅ Warranty
💯 AMVIC Licensed Dealership","CA$9,995","282,058 km","AWD","https://www.facebook.com/marketplace/item/1285212506883041/","Active title; high km (282k); dealer"
"Honda CR-V 2009","Honda CR-V","Calgary, AB","Aug 13, 2026","Reliable black Honda CR-V 2009 with a grey cloth interior. This vehicle has an automatic transmission and an odometer reading of 170,489 km. It is equipped with all-weather floor mats, extra wiper and 4 extra tires. Active status an no accident.i am the second owner of the car.","CA$11,800","170,489 km","Not stated","https://www.facebook.com/marketplace/item/1607847837517425/","Second owner, no accidents, low km"
"Honda CRV 2011","Honda CR-V","Red Deer, AB","Aug 17, 2026","Hi, I'm selling my car as is.
2011 Honda CRV 2.4, mileage 287,879.
What's been done to the car:
The rear shock absorbers and springs were replaced, the rear bushings of the front control arms were replaced, the brake pads were replaced, two years ago the cylinder head was completely rebuilt, the timing chain and radiator were replaced,
I have 18"" wheels for the summer, and a set of original 17"" wheels for the winter. The windshield has been replaced.

I don't answer questions about availability.
The car is negotiable only upon meeting.","CA$8,700","287,879 km","Not stated","https://www.facebook.com/marketplace/item/2209371329605968/","Red Deer (~145 km N); sold as-is; high km"
"2012 Honda CR-V","Honda CR-V","Edmonton, AB","Aug 19, 2026","Up for sale is a dependable 2012 Honda CR-V EX. Known for their outstanding longevity, fuel efficiency, and low maintenance costs, this CR-V runs and drives great. It's perfect as a reliable daily commuter, winter driver, or first car!
Key Features:-
● AWD System: Great handling in winter and rainy conditions
● Sunroof / Moonroof
● Alloy Wheels
● Air Conditioning & Heated Side Mirrors
● Fold-Flat Rear Seats: Tons of cargo space
Vehicle Condition:-
Mechanically: Excellent condition—engine and transmission run smooth with no known issues. Well-maintained and ready to drive home.
Cosmetically: The body has hail damage (reflected in the price). Photos accurately show the exterior condition. Purely cosmetic; it does not affect drivability or safety","CA$10,999","219,000 km","AWD","https://www.facebook.com/marketplace/item/2289681941783040/","Edmonton; hail damage (cosmetic)"
"2015 Honda CR-V","Honda CR-V","Edmonton, AB","Aug 13, 2026","2015 Honda CRV (ALL WHEEL DRIVE)
Regular maintained vehicle.
Daily driver vehicle so kilometer will go higher.
Brand new tires
Fresh Oil Change
Runs and drives mint.
Recently detailed.
Remote Starter
Heated Seats
Reverse Camera
ACTIVE TITLE..NOT REBUILD
Recently inspected and can provide carfax aswell.
Location - Southside Argyll Road","CA$12,500","265,000 km","AWD","https://www.facebook.com/marketplace/item/1320798459856315/","Edmonton; active title (not rebuilt)"
"2013 Honda CR-V","Honda CR-V","East Kootenay, BC","Aug 13, 2026","Selling our family CRV, we have outgrown it. It's been a great vehicle. It has a crack in the windshield and that's the only known issue. Pretty firm on the price. Thanks for looking","CA$9,500","263,000 km","Not stated","https://www.facebook.com/marketplace/item/1937692516870127/","BC listing (East Kootenay) - farthest from Calgary in this set; cracked windshield"
"2013 Ford Escape (Titanium AWD)","Ford Escape","Calgary, AB","Aug 13, 2026","2013 Ford Escape Titanium AWD – 2.0L EcoBoost
177,119 km | 2 Owners | No Accidents | AWD
Selling a well-equipped 2013 Ford Escape Titanium AWD with the 2.0L EcoBoost engine and only 177,119 km.
This Escape has had only 2 owners and has never been in an accident. It's a great year-round vehicle with plenty of features, AWD, and a 2"" hitch receiver.
Features
• 2.0L EcoBoost engine
• AWD
• Titanium trim
• Leather interior
• Heated seats
• Backup camera
• Navigation
• Power seats
• Panoramic sunroof
• Bluetooth
• Push-button start
• Keyless entry
• Power liftgate
• Alloy wheels
• 2"" hitch receiver
• Full set of winter tires on rims included
Recent Maintenance
• Front brake calipers recently replaced
Condition
Overall, the vehicle is in good condition for its age and mileage. The only notable cosmetic issue is a small spot of rust on the driver's side door.
Located in NE Calgary.
Serious inquiries welcome. Message me if you'd like more information or would like","CA$10,500","177,119 km","AWD","https://www.facebook.com/marketplace/item/4118943408403869/","2 owners, no accidents - well documented"
"2013 Ford Escape SEL","Ford Escape","Calgary, AB","Aug 19, 2026","Ford Escape Titanium SEL, 2013 All-Wheel Drive. Reliable and quiet drive. Great car to get around town or for road trips. Clean and in good condition. New CV-joints and front brakes in 2024. Includes both summer and winter tires on alloy rims. All tires are 2 years old and in excellent condition. Also inclues 2"" hitch mount (no electric) for bike rack. Title: Rebuilt.
Convenience features: Push-button start (2 sets of key fobs), remote start function, leather seats, dual climate zone, bluetooth (no android auto or apple car play), panoramic sunroom, power liftgate, built-in garage door opener, seat memory settings, back-up sensor (no camera).","CA$7,900","164,000 km","AWD","https://www.facebook.com/marketplace/item/1772920820381197/","Rebuilt title; both tire sets included"
"2014 Ford Escape SE AWD","Ford Escape","Calgary, AB","Aug 18, 2026","2014 Ford Escape SE AWD – 165,500 km
🚗 1.6L EcoBoost | AWD | Automatic
🔴 Red exterior / Black interior
⚠️ Rebuilt title
Features:
• Leather & heated seats
• Navigation & backup camera
• Bluetooth & keyless entry
• Power driver's seat
• Alloy wheels & premium sound
• Remote starter
🔧 Recently Serviced:
• Fresh oil change
• Transmission & differential fluid service
• Brake fluid flush
• New front & rear brakes
• 4 new all-weather tires
• Axle seals replaced
✅ Runs and drives great
✅ No oil leaks or rust
✅ Clean inside and out
✅ Light, unnoticeable hail damage — cosmetic only
✅ Currently my daily driver
📌 Mileage will increase slightly as I drive it daily.
Selling because our family is growing and we're upgrading to a bigger vehicle. It has been a reliable daily driver and is well maintained.
📩 Message me if interested!","CA$7,500","165,500 km","AWD","https://www.facebook.com/marketplace/item/1323875592883498/","Rebuilt title; extensive recent service; light hail"
"2017 Ford Escape","Ford Escape","Calgary, AB","Aug 18, 2026","2017 Ford escape (Active )
Under warranty for next 25k kilometres
Panoramic sunroof
Electric seat
4wd ( four wheel drive)","CA$12,500","164,000 km","4WD","https://www.facebook.com/marketplace/item/2369611303855596/","Still under warranty for next 25,000 km"
"2017 Ford Escape SE NAV PANO ROOF HEATED SEATS","Ford Escape","Calgary, AB","Aug 19, 2026","2017 Ford Escape SE 4x4 Panoramic Roof Navigation & Heated Seats. Highlights & Key Specs. Mileage: 154,643 km. Engine: 1.5L Turbocharged 4-Cylinder (177 HP). Drivetrain: 4x4 Four-Wheel Drive. Exterior / Interior: Lightning Blue / Grey. Body Style: 4-Door SUV. Description: Drive away in style and comfort with this feature-packed 2017 Ford Escape SE 4x4. Finished in eye-catching Lightning Blue, this highly capable compact SUV combines impressive fuel efficiency with all-weather 4x4 capability and premium tech features. Standout Features Include: Cabin Comfort & Style: Panoramic Moonroof/Sunroof, Heated Front Seats, Power Drivers Seat, Leather Steering Wheel, Automatic Climate Control, and Power Windows/Locks/Mirrors. Technology & Entertainment: Built-in Navigation System, Back-Up Camera, Bluetooth Connectivity, AM/FM/CD/MP3 Stereo with Steering Wheel Audio Controls, and Remote Keyless Entry. Safety & Handling: Intelligent 4x4 Drive System, Blind Spot Monitoring, Traffic Sign Recognition, Electronic Stability Control, Traction Control, Fog Lights, and Roof Rack. Contact today to schedule your private viewing and test drive!","CA$8,998","154,643 km","4x4/4WD","https://www.facebook.com/marketplace/item/3281782485366156/","Well-equipped for the price"
"2018 Ford Escape","Ford Escape","Calgary, AB","Aug 17, 2026","Excellent ENGiNE and TRANSMISSION 1.5 ecobust AWD .
Body : zero rust.
Just replaced right front fender and number due to minor accident. ( so currently rebuilt satatus )
A/C works
Heated front seats
Smoke free.
4 winter tires installed.
NEW battery ( bought 10 days ago )
Needs NOTHING!
CURRENTLY insured and registered.","CA$10,000","108,300 km","AWD","https://www.facebook.com/marketplace/item/1514436097036635/","Lowest km in the Escape set (108k); rebuilt status"
"2018 Ford Escape SEL","Ford Escape","Calgary, AB","Aug 20, 2026","2018 FORD ESCAPE SEL WITH 229991 KMS, 4WD, NAVIGATION, BACKUP CAMERA, HEATED MIRRORS, AUTO STOP/START, LEATHER SEATS, HEATED FRONT SEATS, BLUETOOTH, USB/AUX, POWER WINDOWS LOCKS SEATS AND MORE!
ALL CREDIT ACCEPTED!
One month at a job? Bankruptcy? New to Canada? Collections? Student or work visas? Previous repossessions? Good or bad credit? We've got you covered! Get pre-approved today at www.autoshouse.com!
What We Offer:
*Low Bi-Weekly Payments
*Instant Approvals
*Credit Consolidation
*Employment Insurance
*Negative Equity Coverage
Operating Hours:
Mon-Thurs: 10 am -- 7 pm
Fri-Sat: 10 am -- 6 pm
Sunday: 11 am -- 5 pm
Call Sunridge [hidden information] ! All vehicles come with a full mechanical fitness assessment.
CARFAX IS AVAILABLE TO THE CONSUMER.
Referral Program:
Refer friends and family and earn $500 for each referral!
AMVIC Licensed Dealer
After a credit check, we can determine payments, APR, terms, and interest rates based on your credit (O.A.C). Individual credit will affect bi-weekly payments and the total cost of credit. Similar to Chevrolet, GMC, Honda, Toyota, Cadillac, Nissan, Ford, Volvo 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018
3312 26 Street Northeast, Calgary, AB, T1Y 4T7
All photos are of the vehicle featured in the advertisement.
Stock # D10647","CA$10,988","229,991 km","4WD","https://www.facebook.com/marketplace/item/2507070003146763/","Dealer; high km (230k); posted <1 hour before capture"
"2018 Ford Escape SEL - 4WD","Ford Escape","Calgary, AB","Aug 13, 2026","2018 Ford Escape SEL - 4WD
156423 km only
Grey Color - 1.5L Eco Boost Engine
4 Cylinder - SUV
Backup Camera - Navigation Compass
Automatic Transmission
Almost New All weather tires on rims
Active status
All details available upon inquiry.","CA$11,900","156,423 km","4WD","https://www.facebook.com/marketplace/item/1308264594483909/","Active status"
"2018 Ford Escape SEL 4WD No Accidents","Ford Escape","Calgary, AB","Aug 15, 2026","2018 Ford Escape SEL 4WD
Stock# C63837

➡️ 157,615km
➡️ 1.5L Ecoboost I4 4WD
➡️ Active Alberta Registration
➡️ Clean Title, No Accidents or Claims

✅ Your credit history won't stop you — we can help!
✅ MECHANICAL ASSESSMENT
✅ Extended Warranty Available
➡️ Apple CarPlay
➡️ Blind Spot Detection
➡️ Navigation
➡️ Power Tailgate
➡️ Backup Camera
➡️ Dual Climate Control
➡️ Panoramic Sunroof/Moonroof
➡️ Power/ Heated Front Seat
➡️ Lane Keep Assist
Price: $12,450+GST
AMVIC licensed dealership","CA$11,950","157,615 km","4WD","https://www.facebook.com/marketplace/item/928686313607608/","Clean title, no accidents. Same car also posted as item 1027886303350806 - counted once"
"2018 Ford Escape SEL AWD","Ford Escape","Calgary, AB","Aug 19, 2026","2018 Ford Escape SEL AWD
Very clean, drives like new with no issues. Well maintained and needs nothing. Clean history dealer serviced since new. A reliable SUV that's ready for its next owner.
ACTIVE STATUS, NO ACCIDENTS
Some options include Reverse Camera, Bluetooth, Heated Seats, Leather seats, Remote Start, Android Auto, Apple car play, Power Driver's Seat, Keyless Entry, Alloy Wheels, Cruise Control, Steering Wheel Controls, Power Windows, Locks & Mirrors, Air Conditioning and much more!
149,947 KM
$11,800
Stock #7395
AMVIC Licensed Dealer
Prices do not include GST
All vehicles come with valid AMVIC inspection and CarFax.","CA$11,800","149,947 km","AWD","https://www.facebook.com/marketplace/item/1734946554456566/","Active status, no accidents, dealer serviced since new"
"2014 Ford Escape AWD EcoBoost","Ford Escape","Airdrie, AB","Aug 16, 2026","2014 Ford Escape AWD EcoBoost – One Owner – Well Maintained
For Sale: Silver 2014 Ford Escape AWD
Selling my 2014 Ford Escape AWD because I recently purchased a new vehicle.
🚙 195,200km
⚙️ 1.6L EcoBoost engine
❄️ All-Wheel Drive (AWD)
🎨 Silver exterior
👤 Owned since new
🔧 Regular oil changes and maintenance
✅ Well cared for
🇨🇦 Great year-round Alberta vehicle
This Escape has been a dependable vehicle and has been owned and cared for by the same owner since new. Maintenance and oil changes have been kept up regularly, and it has been a reliable daily driver.
The AWD system makes it a great choice for Calgary winters, while the 1.6L EcoBoost offers a good combination of power and fuel economy.
Reason for selling: I purchased a new vehicle and no longer need the Escape.
195,200 km
Serious inquiries are welcome. Come take a look and see it for yourself.
Asking: $7,800.00 OBO
📍 Calgary, Alberta","CA$7,800","195,200 km","AWD","https://www.facebook.com/marketplace/item/1760614312737006/","One owner since new; Airdrie (~30 km N of Calgary)"
"2016 Hyundai Tucson","Hyundai Tucson","Calgary, AB","Aug 15, 2026","2016 Hyundai Tucson!! Very Clean!!
Stylish and versatile SUV with a comfortable interior, great fuel economy, and the practicality you need for everyday driving. Perfect for commuting, road trips, or growing families looking for a reliable SUV.
Features:
• 2.0L 4-Cylinder Engine
• Automatic Transmission
• All-Wheel Drive (AWD)
• Heated Front Seats
• Backup Camera
• Bluetooth Connectivity
• Touchscreen Display
• Air Conditioning
• Cruise Control
• Keyless Entry
• Power Windows & Locks
• Steering Wheel Audio Controls
Stylish, modern and easy to handle. The Tucson offers the perfect balance of practicality, safety, and value in a compact SUV.
Financing Available – All Credit Welcome
Trade-Ins Accepted
Located: 2811 58 Ave SE Calgary
Contact: [hidden information]
AMVIC Licensed Dealer","CA$10,988","175,000 km","AWD","https://www.facebook.com/marketplace/item/1370807628575794/","AMVIC dealer"
